StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q11,Q13,Q14,Q42,Q19,Q16,Q20,Q21,Q29,Q30,Q31,Q32,Q24_1,Q24_3,Q24_4,Q24_5,Q24_7,Q24_6,Q24_9,Q27,Q35
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which statement about models is *incorrect*?,Which of these statements does *not* apply? Statistical models are machines because ...,What is a property of a parametric model? Parametric models ...,"Is it true that t-tests, ANOVAs and linear regressions are all parametric models?",Discrete data can be normal distributed!,The normal distribution is symmetric.,"For perfectly normal distributed data the mean, median and mode take on the same value.",The normal distribution is defined by two parameters (select two options).,Which of the following are examples for a random continuous variable?,Why are responses to psychometric scales not continuous data?,What does CLT stand for?,What does the CLT show?,Under what circumstance can we use parametric tests on data that come from a non-normal distribution?,What does iid stand for?,What does independence in iid refer to?,What is an example for an independence violation?,What does identically distributed in iid mean?,What is *not* an example for a violation of an identical distribution?,Why is it important that your sample is iid? Violations of iid ...,How would you evaluate the quiz (more stars indicates endorsement)? - I found this quiz useful to understand the main aspects of the lecture.,How would you evaluate the quiz (more stars indicates endorsement)? - I found the quiz too difficult.,How would you evaluate the quiz (more stars indicates endorsement)? - There were too many questions.,How would you evaluate the quiz (more stars indicates endorsement)? - I'd like more questions.,How would you evaluate the quiz (more stars indicates endorsement)? - I didn't see how some questions related to the lecture.,How would you evaluate the quiz (more stars indicates endorsement)? - Please keep using quizzes for lectures.,How would you evaluate the quiz (more stars indicates endorsement)? - I feel like this quiz increased my engagement.,Which statement applies to you (you can respond more than once)?,Do you want to see the correct answers to this quiz?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID42""}","{""ImportId"":""QID19""}","{""ImportId"":""QID16""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID24_4""}","{""ImportId"":""QID24_5""}","{""ImportId"":""QID24_7""}","{""ImportId"":""QID24_6""}","{""ImportId"":""QID24_9""}","{""ImportId"":""QID27""}","{""ImportId"":""QID35""}"
2021-02-01 09:27:26,2021-02-01 09:34:38,Survey Preview,,100,432,True,2021-02-01 09:34:39,R_1NxugoWFrDHTueZ,,,,,51.65130615234375,0.318695068359375,preview,EN,Models are simplifications of reality.,the output is only as good as the match between input and assumed input.,use ranks rather than raw data.,Yes,False,True,True,"t-value,Chi-square","1.111, 1.5555, 120.123, 15.432",Implicit order (ordinal),,the distribution of sample means will be normal even for small samples.,never,inter-interval distance,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling individual with facebook but without snapchat account when testing the impact of snapchat on selfesteem.,lead to biased results.,6,,,,,,,I paused the lectures to do each part of the quiz individually.,
2021-02-01 09:35:46,2021-02-01 09:36:36,Survey Preview,,100,50,True,2021-02-01 09:36:37,R_1dykwaF1k1EiXMW,,,,,51.65130615234375,0.318695068359375,preview,EN,Models that represent reality in all it's details are the best models.,the output is only as good as the match between input and assumed input.,have implicit non-arbitrary assumptions.,Yes,False,True,True,"standard deviation,F ratio",Psychometric scales,Discrete categories,,all data are eventually normal distributed.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must be normally distributed.,mixing continuous and discrete data.,affect the reliability of out data.,6,6,6,6,6,6,,I paused the lectures to do each part of the quiz individually.,Maybe
2021-02-13 10:18:47,2021-02-13 10:23:57,IP Address,86.180.143.238,100,310,True,2021-02-13 10:23:57,R_UG6PLFnwUGWlORr,,,,,52.3061065673828125,-1.5366973876953125,anonymous,EN,Models highlight aspects of reality they aim to describe.,you can break them.,can be used for all data types.,Yes,True,True,True,"mean,standard deviation",None of the above because nothing is every truly continuous.,All of the above,central limit theorem,all data are eventually normal distributed.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling individual with facebook but without snapchat account when testing the impact of snapchat on selfesteem.,all of the above.,5,1,1,3,1,6,6,i watched the entire lecture before doing this quiz.,Yes please
2021-02-13 13:50:06,2021-02-13 14:05:37,IP Address,178.40.3.16,100,931,True,2021-02-13 14:05:38,R_dd4QIY7mZuJaiBP,,,,,48.9777069091796875,21.27630615234375,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,have implicit non-arbitrary assumptions.,Yes,True,True,True,"mean,standard deviation","1.111, 1.5555, 120.123, 15.432",All of the above,central limit theorem,the distribution of sample means will be normal if we have enough data.,when sampling enough data.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling individual with facebook but without snapchat account when testing the impact of snapchat on selfesteem.,all of the above.,6,4,1,6,1,6,6,i watched the entire lecture before doing this quiz.,Yes please
2021-02-14 03:12:41,2021-02-14 04:18:51,IP Address,31.127.109.70,100,3969,True,2021-02-14 04:18:51,R_3ipSgzWtXStfdhd,,,,,52.3235931396484375,-2.0525054931640625,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,have implicit non-arbitrary assumptions.,Yes,False,True,True,"mean,standard deviation",None of the above because nothing is every truly continuous.,All of the above,central limit theorem,the distribution of sample means will be normal if we have enough data.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling individuals with facebook but without snachat account when testing the impact of social media on selfesteem.,all of the above.,5,3,1,1,1,5,5,I paused the lectures to do each part of the quiz individually.,Yes please
2021-02-15 02:00:11,2021-02-15 02:35:28,IP Address,86.8.106.139,100,2117,True,2021-02-15 02:35:29,R_3rYtz3xNULLJ25b,,,,,52.9044036865234375,-1.23260498046875,anonymous,EN,All models are wrong but some are useful.,you can break them.,have implicit non-arbitrary assumptions.,Yes,False,True,True,"mean,standard deviation","1.111, 1.5555, 120.123, 15.432",All of the above,central limit theorem,all data are eventually normal distributed.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,mixing continuous and discrete data.,all of the above.,5,5,4,3,1,3,2,I paused the lectures to do each part of the quiz individually.,Yes please
2021-02-15 03:50:42,2021-02-15 03:57:18,IP Address,86.169.26.13,100,395,True,2021-02-15 03:57:18,R_u3q6IBCRwqEe8kF,,,,,52.3325042724609375,-0.1844024658203125,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,can be used for all data types.,Yes,False,True,True,"mean,standard deviation","1.111, 1.5555, 120.123, 15.432",Discrete categories,central limit theorem,the distribution of sample means will be normal if we have enough data.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,mixing continuous and discrete data.,all of the above.,6,2,3,2,1,4,5,i watched the entire lecture before doing this quiz.,Yes please
2021-02-15 03:33:02,2021-02-15 04:38:41,IP Address,188.221.105.63,100,3939,True,2021-02-15 04:38:41,R_XOqxwn6wCSR6cKZ,,,,,52.92919921875,-1.10650634765625,anonymous,EN,Models that represent reality in all it's details are the best models.,you can break them.,use ranks rather than raw data.,Yes,True,True,True,"mean,standard deviation","True / False, Yes / No, Agree / Disagree",All of the above,central limit theorem,all data are eventually normal distributed.,when obtaining means (or totals) of discrete data and the sample size is large enough.,independent and identically distributed,each data point must be independent of other data points.,using the same item / question statement repeatedly for the same participant.,observations must come from the same distribution.,sampling chickens when measuring the height of pigs.,all of the above.,4,3,2,2,1,5,5,I paused the lectures to do each part of the quiz individually.,Yes please
