StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q4,Q6,Q5,Q41,Q8,Q9,Q10,Q11,Q13,Q14,Q19,Q16,Q42,Q43,Q44,Q45,Q46,Q48_1,Q48_2,Q48_3,Q48_4,Q48_5,Q48_6,Q48_7,Q27,Q35
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which acronym is helpful to remember the 4 model assumptions?,What might happen if model assumptions are not met?,"Is it true that t-tests, ANOVAs and linear regressions are all parametric models?",You have fitted linear regression models in previous workshops. What's new when we run a t-test or an ANOVA as linear model using lm?,Why would we use an linear model instead of running a t-test or an ANOVA?,Which of the following is *not* a correct paraphrase of residuals?,Which statement is correct for a good model (generally speaking)?,A positively skewed distribution has a ...,A skew of 3.5 indicates,"Which of the following transformations is routinely used in the literature to correct for positive skew, especially for rts?",A random variable x with a kurtosis of 3 is...,Independence of residuals means that there should be (or little) ....,Residuals should be distributed around an imaginary horizontal line ...,Two groups meet the equality / homogeneity of variance assumption when:,Two groups may have unequal variances if one group is more diverse so for example when comparing:,What does linearity refer to?,Can linearity be violated for continuous predictors?,Can linearity be violated for categorical predictors?,How would you evaluate the quiz (more stars indicates endorsement)? - I found this quiz useful to understand the main aspects of the lecture.,How would you evaluate the quiz (more stars indicates endorsement)? - I found the quiz too difficult.,How would you evaluate the quiz (more stars indicates endorsement)? - There were too many questions.,How would you evaluate the quiz (more stars indicates endorsement)? - I'd like more questions.,How would you evaluate the quiz (more stars indicates endorsement)? - I didn't see how some questions related to the lecture.,How would you evaluate the quiz (more stars indicates endorsement)? - Please keep using quizzes for lectures.,How would you evaluate the quiz (more stars indicates endorsement)? - I feel like this quiz increased my engagement.,Which statement applies to you (you can respond more than once)?,Do you want to see the correct answers to this quiz?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID5""}","{""ImportId"":""QID41""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID19""}","{""ImportId"":""QID16""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_3""}","{""ImportId"":""QID48_4""}","{""ImportId"":""QID48_5""}","{""ImportId"":""QID48_6""}","{""ImportId"":""QID48_7""}","{""ImportId"":""QID27""}","{""ImportId"":""QID35""}"
2021-02-01 10:50:49,2021-02-08 09:34:59,IP Address,84.68.102.165,3,600249,False,2021-02-15 09:34:59,R_DrezSUtBiDXx3rj,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22 03:34:11,2021-02-22 03:45:31,IP Address,152.71.207.141,100,680,True,2021-02-22 03:45:32,R_6lFVsxHFe9Jthi9,,,,,52.95379638671875,-1.1571044921875,anonymous,EN,LINE,all of the above.,Yes,the predictor variable is categorical,"We can use the residuals to evaluate a range of different models (with continuous and categorical predictors, within, between, mixed designs).",Predicted outcome,Residuals have a mean of 0 with a small variance,long right tail,negative skew,log transformation,Mesokurtic (normal),residuals doesn't affect each other.,with a mean of zero and a constant variance,"Group 1: mean = 5, sd = 2; Group 2: mean = 5, sd = 6",twitter vs social media users in general,a linear relationship between outcome and predictor variable,No,Yes,4,6,4,1,3,4,5,i watched the entire lecture before doing this quiz.,Yes please
2021-02-22 02:26:14,2021-02-22 03:52:08,IP Address,82.4.128.51,100,5153,True,2021-02-22 03:52:09,R_1GKdBb9NdBpSO83,,,,,52.95379638671875,-1.1571044921875,anonymous,EN,LINE,all of the above.,Yes,the predictor variable is continuous,"We can use the residuals to evaluate a range of different models (with continuous and categorical predictors, within, between, mixed designs).",Predicted outcome,Residuals have a mean of 0 with a small variance,long right tail,positive skew,log transformation,Mesokurtic (normal),residuals doesn't affect each other.,with a mean of zero and a constant variance,"Group 1: mean = 8, sd = 2; Group 2: mean = 5, sd = 2",twitter vs social media users in general,a linear relationship between outcome and predictor variable,Yes,No,5,2,2,5,2,6,4,I paused the lectures to do each part of the quiz individually.,Yes please
2021-02-22 04:10:01,2021-02-22 04:14:20,IP Address,80.94.196.2,100,259,True,2021-02-22 04:14:20,R_RCwmkt3ja7AKXDz,,,,,52.0316925048828125,-1.151092529296875,anonymous,EN,LINE,all of the above.,Yes,the predictor variable is categorical,"We can use the residuals to evaluate a range of different models (with continuous and categorical predictors, within, between, mixed designs).",Predicted outcome,Residuals have a mean of 0 with a small variance,long right tail,negative skew,log transformation,Mesokurtic (normal),residuals are dependent,with a mean of zero and a constant variance,"Group 1: mean = 5, sd = 2; Group 2: mean = 8, sd = 6",twitter vs social media users in general,a linear relationship between outcome and predictor variable,Yes,No,4,2,2,2,2,4,3,i watched the entire lecture before doing this quiz.,Yes please
2021-02-22 04:17:02,2021-02-22 04:23:15,IP Address,86.169.26.13,100,372,True,2021-02-22 04:23:16,R_3qxnQvdNiuLbwvr,,,,,52.3325042724609375,-0.1844024658203125,anonymous,EN,LINE,all of the above.,Yes,the predictor variable is categorical,"We can use the residuals to evaluate a range of different models (with continuous and categorical predictors, within, between, mixed designs).",Predicted outcome,Residuals have a mean of 0 with a small variance,long right tail,positive skew,log transformation,Mesokurtic (normal),residuals are dependent,with a mean of zero and a constant variance,"Group 1: mean = 8, sd = 2; Group 2: mean = 5, sd = 2",twitter vs social media users in general,a linear relationship between outcome and predictor variable,No,Yes,6,4,2,1,1,5,4,i watched the entire lecture before doing this quiz.,Yes please
2021-02-22 04:18:43,2021-02-22 05:05:51,IP Address,83.166.182.47,100,2828,True,2021-02-22 05:05:52,R_3kEUimOm6earbna,,,,,52.92919921875,-1.10650634765625,anonymous,EN,LINE,all of the above.,Yes,the predictor variable is continuous,"We can use the residuals to evaluate a range of different models (with continuous and categorical predictors, within, between, mixed designs).",Predicted outcome,Residuals have a mean of 0 with a small variance,long right tail,positive skew,log transformation,Mesokurtic (normal),residuals doesn't affect each other.,with a mean of zero and a constant variance,"Group 1: mean = 8, sd = 2; Group 2: mean = 5, sd = 2",twitter vs social media users in general,"that's all the same, Jens!",Maybe,Maybe,6,5,1,4,1,6,6,I paused the lectures to do each part of the quiz individually.,Yes please
2021-02-22 05:21:35,2021-02-22 05:27:06,IP Address,81.105.246.222,100,330,True,2021-02-22 05:27:06,R_3EsUwV18YaSkY1l,,,,,52.0287017822265625,-0.501495361328125,anonymous,EN,LINE,our conclusions might be invalid.,Yes,the outcome variable is categorical,"We can use the residuals to evaluate a range of different models (with continuous and categorical predictors, within, between, mixed designs).",Model prediction error,Residuals have a mean of 0 with a small variance,long right tail,positive skew,log transformation,Mesokurtic (normal),residuals doesn't affect each other.,with a mean of zero and a constant variance,"Group 1: mean = 5, sd = 2; Group 2: mean = 5, sd = 6",facebook vs snapchat users,"that's all the same, Jens!",Yes,No,4,5,5,3,1,6,6,i watched the entire lecture before doing this quiz.,Yes please
2021-02-22 02:51:35,2021-02-22 05:27:37,IP Address,109.157.246.232,100,9362,True,2021-02-22 05:27:37,R_xDGRnvxqozi22Ih,,,,,51.470794677734375,-2.0821990966796875,anonymous,EN,LINE,the model is not an accurate representation of our psychological theory.,Yes,the predictor variable is continuous,"We can use the residuals to evaluate a range of different models (with continuous and categorical predictors, within, between, mixed designs).",Predicted outcome,Residuals have a mean of 0 with a small variance,long right tail,positive skew,log transformation,Mesokurtic (normal),residuals doesn't affect each other.,with a mean of zero and a constant variance,"Group 1: mean = 8, sd = 2; Group 2: mean = 8, sd = 6",twitter vs social media users in general,a linear relationship between outcome and predictor variable,Yes,No,6,4,3,4,2,6,6,I paused the lectures to do each part of the quiz individually.,Yes please
2021-02-22 06:03:08,2021-02-22 06:07:35,IP Address,86.137.187.121,100,267,True,2021-02-22 06:07:35,R_3IbgZDw6A2NbWgN,,,,,52.23309326171875,-1.6884002685546875,anonymous,EN,LINE,all of the above.,Yes,the outcome variable is continous,"We can use the residuals to evaluate a range of different models (with continuous and categorical predictors, within, between, mixed designs).",Unexplained variance,Residuals have a mean of 1 with a small variance,long right tail,positive skew,log transformation,Leptokurtic,residuals are dependent,with a mean of 1 and a heterogeneous variance,"Group 1: mean = 8, sd = 2; Group 2: mean = 5, sd = 2",twitter vs social media users in general,a linear relationship between outcome and predictor variable,Yes,No,4,6,4,3,3,5,5,i watched the entire lecture before doing this quiz.,Yes please
2021-02-22 06:10:55,2021-02-22 06:19:26,IP Address,95.150.60.120,100,510,True,2021-02-22 06:19:26,R_6yTWpaebljZnWBr,,,,,51.398101806640625,-0.873504638671875,anonymous,EN,LINE,all of the above.,Yes,the predictor variable is categorical,"We can use the residuals to evaluate a range of different models (with continuous and categorical predictors, within, between, mixed designs).",Unexplained variance,Residuals have a mean of 0 with a small variance,long right tail,positive skew,log transformation,Mesokurtic (normal),residuals doesn't affect each other.,with a mean of zero and a constant variance,"Group 1: mean = 8, sd = 2; Group 2: mean = 5, sd = 2",twitter vs social media users in general,a linear relationship between outcome and predictor variable,Yes,No,5,1,0,5,0,6,6,i watched the entire lecture before doing this quiz.,Yes please
2021-02-22 04:11:09,2021-02-22 06:33:44,IP Address,82.69.28.2,100,8554,True,2021-02-22 06:33:44,R_vwdhNzrj35Qbfrz,,,,,51.477996826171875,-0.2339019775390625,anonymous,EN,LINE,all of the above.,Yes,the predictor variable is categorical,"We can use the residuals to evaluate a range of different models (with continuous and categorical predictors, within, between, mixed designs).",Predicted outcome,Residuals have a mean of 0 with a small variance,long right tail,positive skew,log transformation,Mesokurtic (normal),residuals doesn't affect each other.,with a mean of zero and a constant variance,"Group 1: mean = 8, sd = 2; Group 2: mean = 5, sd = 2",snapchat vs instagram users,a linear relationship between outcome and predictor variable,Yes,No,6,4,1,6,1,6,6,I paused the lectures to do each part of the quiz individually.,Yes please
