country,iq
Argentina,96
Australia,98
Austria,102
Barbados,78
Belgium,100
Brazil,87
Bulgaria,93
Canada,97
China,100
Columbia,89
Congo Brazz,73
Congo Zaire,65
Croatia,90
Cuba,85
Czech Repub,97
Denmark,98
Ecuador,80
Egypt,83
Equatorial G,59
Ethiopia,63
Fiji,84
Finland,97
France,98
Germany,102
Ghana,71
Greece,92
Guatemala,79
Guinea,66
Hong Kong,107
Hungary,99
India,81
Indonesia,89
Iran,84
Iraq,87
Ireland,93
Israel,94
Italy,102
Jamaica,72
Japan,105
Kenya,72
Korea South,106
Lebanon,86
Malaysia,92
Marshall Isl,84
Mexico,87
Morocco,85
Nepal,78
Netherlands,102
New Zealand,100
Nigeria,67
Norway,98
Peru,90
Phillipines,86
Poland,99
Portugal,95
Puerto Rico,84
Qatar,78
Romania,94
Russia,96
Somoa,87
Sierra Leone,64
Singapore,103
Slovakia,96
Slovenia,95
South Africa,72
Spain,97
Suday,72
Suriname,89
Sweden,101
Switzerland,101
Taiwan,104
Tanzania,72
Thailand,91
Tonga,87
Turkey,90
Uganda,73
United Kingdom,100
United States,98
Uruguay,96
Zambia,77
Zimbabwe,66
