data_id,language,form,age,gender,mom_ed,comprehension,production
80021,English (British),TEDS Twos,24,Male,Some Secondary,14,14
80022,English (British),TEDS Twos,24,Male,Some Secondary,24,24
80023,English (British),TEDS Twos,25,Male,Some Secondary,63,63
80024,English (British),TEDS Twos,25,Male,Some Secondary,63,63
80025,English (British),TEDS Twos,24,Female,Some Secondary,9,9
80026,English (British),TEDS Twos,24,Male,Some Secondary,12,12
80027,English (British),TEDS Twos,23,Female,Some Secondary,19,19
80028,English (British),TEDS Twos,23,Female,Some Secondary,18,18
80029,English (British),TEDS Twos,24,Female,Some Secondary,29,29
80030,English (British),TEDS Twos,24,Female,Some Secondary,28,28
80031,English (British),TEDS Twos,24,Female,Some Secondary,45,45
80032,English (British),TEDS Twos,24,Male,Some Secondary,8,8
80033,English (British),TEDS Twos,23,Male,Some Secondary,52,52
80034,English (British),TEDS Twos,24,Male,Some Secondary,77,77
80035,English (British),TEDS Twos,23,Male,None,65,65
80036,English (British),TEDS Twos,23,Male,None,59,59
80037,English (British),TEDS Twos,23,Male,Graduate,82,82
80038,English (British),TEDS Twos,23,Male,Graduate,85,85
80039,English (British),TEDS Twos,24,Female,Graduate,48,48
80040,English (British),TEDS Twos,24,Female,Graduate,47,47
80041,English (British),TEDS Twos,24,Male,Primary,20,20
80042,English (British),TEDS Twos,23,Male,Primary,19,19
80043,English (British),TEDS Twos,24,Female,Primary,54,54
80044,English (British),TEDS Twos,23,Female,Primary,42,42
80045,English (British),TEDS Twos,24,Female,NA,37,37
80046,English (British),TEDS Twos,24,Female,NA,33,33
80047,English (British),TEDS Twos,24,Male,Some Secondary,33,33
80048,English (British),TEDS Twos,24,Female,Some Secondary,41,41
80049,English (British),TEDS Twos,24,Female,Some Secondary,80,80
80050,English (British),TEDS Twos,24,Female,Some Secondary,85,85
80051,English (British),TEDS Twos,24,Female,Some Secondary,49,49
80052,English (British),TEDS Twos,24,Female,Some Secondary,52,52
80053,English (British),TEDS Twos,24,Male,College,52,52
80054,English (British),TEDS Twos,24,Male,College,58,58
80055,English (British),TEDS Twos,23,Female,Secondary,35,35
80056,English (British),TEDS Twos,23,Female,Secondary,36,36
80057,English (British),TEDS Twos,24,Male,Graduate,4,4
80058,English (British),TEDS Twos,24,Male,Graduate,16,16
80059,English (British),TEDS Twos,25,Female,Some Secondary,71,71
80060,English (British),TEDS Twos,25,Female,Some Secondary,53,53
80061,English (British),TEDS Twos,24,Male,None,24,24
80062,English (British),TEDS Twos,24,Male,None,23,23
80063,English (British),TEDS Twos,24,Female,Some College,28,28
80064,English (British),TEDS Twos,24,Male,Some College,33,33
80065,English (British),TEDS Twos,24,Male,Some College,87,87
80066,English (British),TEDS Twos,24,Male,Some College,85,85
80067,English (British),TEDS Twos,35,Male,Some Secondary,100,100
80068,English (British),TEDS Twos,35,Male,Some Secondary,100,100
80069,English (British),TEDS Twos,24,Male,Primary,75,75
80070,English (British),TEDS Twos,24,Male,Primary,74,74
80071,English (British),TEDS Twos,24,Female,Some College,99,99
80072,English (British),TEDS Twos,24,Female,Some College,100,100
80073,English (British),TEDS Twos,24,Male,Primary,73,73
80074,English (British),TEDS Twos,24,Male,Primary,84,84
80075,English (British),TEDS Twos,25,Female,Primary,45,45
